name,value,unit,status,source,command,timestamp
memcpy MB/s,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
memset MB/s,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
crc32c MiB/s,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
crc32_sw MiB/s,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
EMA ops/sec,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
entropy ops/sec,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
DirectByteBuffer process ops/sec,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
JNI call latency ns,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
vCPU step ops/sec,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
stepAllVcpus ops/sec,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
target_hz,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
actual_hz_q16,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
jitter_ns,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
missed_ticks,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
period_ns,,raw,NEEDS_ARTIFACT,CI_ARTIFACT,scripts/run_top42_bench.sh,2026-05-04T23:17:23Z
